Name	156	157	158	159	160	161	162	163	164	165	166	167	168	169	170	171	172	173	174	175	176	177	178	179	180	181	182	183	184	185	186	187	188	189	190	191	192	193	194	195	196	197	198	199	200	201	202	203	204	205
Infectious diseases	185438.0	183715.0	179034.0	191120.0	209457.0	207774.0	197436.0	204879.0	207362.0	215593.0	194358.0	202958.0	196475.0	210743.0	168876.0	152338.0	210692.0	195664.0	191296.0	209353.0	207895.0	208226.0	223094.0	171951.0	148614.0	165237.0	176399.0	144146.0	158774.0	160256.0	198255.0	182107.0	189700.0	188626.0	208996.0	171278.0	176017.0	153468.0	172668.0	183306.0	159156.0	163246.0	170188.0	174217.0	165017.0	194256.0	165221.0	177800.0	198365.0	198706.0
Lipid metabolism	527717.0	532992.0	505764.0	550966.0	552296.0	537406.0	522897.0	492115.0	502978.0	585886.0	588377.0	561891.0	554692.0	585958.0	557672.0	518070.0	595364.0	545026.0	562299.0	590717.0	581820.0	572541.0	637664.0	540905.0	416201.0	439523.0	456711.0	398075.0	441011.0	411118.0	432729.0	436434.0	454119.0	463117.0	451854.0	398759.0	473930.0	407427.0	452889.0	444386.0	431556.0	439938.0	460537.0	428145.0	436458.0	457776.0	453337.0	443691.0	515302.0	458872.0
Membrane transport	651272.0	562261.0	559760.0	594698.0	642340.0	631628.0	579676.0	569884.0	564535.0	704447.0	592347.0	607149.0	590532.0	655016.0	503286.0	446852.0	639936.0	662836.0	535494.0	581779.0	668787.0	712630.0	654567.0	499805.0	440436.0	470914.0	570765.0	458374.0	437100.0	492713.0	521485.0	566480.0	568065.0	600404.0	559458.0	487440.0	602462.0	562759.0	650826.0	645085.0	480069.0	501983.0	578197.0	547479.0	513470.0	631901.0	495657.0	528280.0	570961.0	555677.0
Metabolism of cofactors and vitamins	817526.0	866981.0	802665.0	881564.0	848016.0	805907.0	845922.0	776329.0	759767.0	896944.0	940471.0	888912.0	913742.0	928148.0	880823.0	802597.0	939341.0	890958.0	944038.0	968480.0	950570.0	896693.0	1021905.0	814461.0	612764.0	639761.0	732587.0	661010.0	736895.0	687792.0	714094.0	670141.0	695454.0	708415.0	709794.0	645596.0	708914.0	656148.0	718066.0	706967.0	639016.0	682062.0	703871.0	648276.0	673729.0	649038.0	725345.0	678782.0	775010.0	668789.0
Metabolism of other amino acids	358342.0	371659.0	349265.0	372819.0	372866.0	357209.0	358922.0	328557.0	340036.0	403691.0	403419.0	391958.0	407978.0	414096.0	399885.0	353229.0	418394.0	388384.0	400491.0	420950.0	406051.0	432495.0	457089.0	413805.0	282901.0	304036.0	339816.0	302678.0	318593.0	305415.0	311151.0	306300.0	319025.0	327619.0	313530.0	282576.0	335779.0	287019.0	323801.0	327924.0	282538.0	306490.0	314834.0	303386.0	302624.0	313389.0	317216.0	302470.0	360987.0	320838.0
Metabolism of terpenoids and polyketides	202094.0	218294.0	208851.0	226382.0	220824.0	208981.0	213730.0	205306.0	210567.0	208591.0	221668.0	204533.0	218547.0	213917.0	201005.0	191718.0	241040.0	233565.0	229441.0	237223.0	241869.0	220373.0	250247.0	180981.0	152392.0	160702.0	172730.0	156334.0	175049.0	172848.0	184892.0	177929.0	183871.0	191677.0	192424.0	168490.0	174075.0	163247.0	181763.0	183651.0	161096.0	172527.0	180352.0	181290.0	174986.0	181448.0	176231.0	178570.0	196367.0	165971.0
Nervous system	70237.0	78536.0	71562.0	79977.0	76744.0	69238.0	76335.0	68394.0	72814.0	79602.0	85804.0	78443.0	82836.0	83487.0	79503.0	70805.0	78371.0	74951.0	84120.0	86753.0	84834.0	80851.0	91169.0	73617.0	55742.0	56772.0	65471.0	63059.0	68316.0	66977.0	65665.0	62949.0	64823.0	70478.0	66371.0	58985.0	63563.0	60564.0	64524.0	60961.0	48885.0	58998.0	62380.0	59927.0	61152.0	59818.0	56903.0	58759.0	74348.0	67906.0
Neurodegenerative diseases	16087.0	18765.0	18827.0	19890.0	21354.0	20720.0	19282.0	18965.0	19608.0	18914.0	19765.0	19390.0	23125.0	19448.0	18734.0	16912.0	19011.0	17152.0	18760.0	19814.0	19551.0	20171.0	23521.0	18724.0	13889.0	16507.0	15175.0	14248.0	18155.0	16386.0	15794.0	18946.0	19787.0	18327.0	19387.0	17300.0	15098.0	15313.0	17216.0	18104.0	16267.0	17459.0	17024.0	18318.0	16748.0	21533.0	17466.0	16720.0	20399.0	18436.0
Nucleotide metabolism	972404.0	998976.0	951428.0	1032880.0	1110281.0	1088650.0	1083173.0	1047705.0	1077464.0	1152214.0	1086314.0	1122256.0	1141379.0	1156056.0	864450.0	793839.0	1054344.0	1048227.0	1020782.0	1076225.0	1117870.0	1120029.0	1176705.0	920315.0	790492.0	872256.0	898237.0	797999.0	806970.0	907299.0	935731.0	958306.0	978533.0	1030956.0	977314.0	885821.0	997477.0	916797.0	1002785.0	1060380.0	874638.0	963521.0	995970.0	992462.0	917371.0	1053666.0	890869.0	935396.0	1051050.0	962051.0
Overview	1749433.0	1716401.0	1651276.0	1785409.0	1819278.0	1758658.0	1754470.0	1657344.0	1660561.0	1946994.0	1881219.0	1835523.0	1852506.0	1910146.0	1588555.0	1430009.0	1866133.0	1815515.0	1761597.0	1867985.0	1902845.0	1940703.0	2043693.0	1585302.0	1295739.0	1398631.0	1503685.0	1336301.0	1401849.0	1443111.0	1495090.0	1565407.0	1585688.0	1659935.0	1580604.0	1424201.0	1626161.0	1472209.0	1676000.0	1707145.0	1404029.0	1470739.0	1572930.0	1474220.0	1464093.0	1499839.0	1457815.0	1449809.0	1610372.0	1464444.0
Replication and repair	1096520.0	1117320.0	1075769.0	1144398.0	1281604.0	1258873.0	1222755.0	1194312.0	1244880.0	1296807.0	1190480.0	1239904.0	1269429.0	1280549.0	962559.0	832270.0	1162173.0	1138916.0	1092686.0	1159094.0	1199545.0	1305298.0	1268369.0	1027119.0	895031.0	1000207.0	1043676.0	926454.0	918354.0	1080019.0	1103978.0	1115963.0	1147081.0	1202876.0	1118259.0	999956.0	1180052.0	1033014.0	1099043.0	1151035.0	1021157.0	1152645.0	1184371.0	1164060.0	1056089.0	1261499.0	997176.0	1071160.0	1201390.0	1094372.0
Sensory system	170.0	50.0	43.0	85.0	115.0	96.0	70.0	27.0	24.0	21.0	22.0	11.0	18.0	21.0	407.0	132.0	24.0	43.0	69.0	58.0	36.0	130.0	97.0	40.0	75.0	77.0	11.0	29.0	31.0	33.0	17.0	234.0	232.0	155.0	137.0	102.0	216.0	276.0	436.0	325.0	138.0	124.0	256.0	141.0	87.0	0.0	24.0	56.0	6.0	9.0
Signal transduction	329746.0	334877.0	342086.0	347012.0	347578.0	339556.0	324361.0	335912.0	329206.0	392311.0	343980.0	349791.0	353651.0	367155.0	289567.0	278084.0	385213.0	369547.0	335498.0	378390.0	398140.0	369647.0	392686.0	315851.0	254564.0	288055.0	318655.0	266496.0	292212.0	312192.0	331022.0	293200.0	315295.0	310463.0	349803.0	282928.0	288183.0	273022.0	314738.0	296863.0	269281.0	275728.0	289444.0	308140.0	284921.0	307413.0	270866.0	289834.0	333114.0	353529.0
Signaling molecules and interaction	806.0	574.0	560.0	532.0	2666.0	3030.0	3910.0	2212.0	2932.0	2126.0	346.0	2544.0	2902.0	2920.0	30.0	8.0	18.0	12.0	28.0	28.0	22.0	652.0	68.0	66.0	248.0	176.0	94.0	44.0	10.0	50.0	50.0	1124.0	1064.0	1248.0	504.0	302.0	504.0	562.0	1164.0	2964.0	1138.0	886.0	1550.0	938.0	1226.0	806.0	564.0	682.0	600.0	474.0
Substance dependence	25.0	58.0	62.0	89.0	212.0	272.0	135.0	255.0	284.0	91.0	115.0	182.0	173.0	143.0	128.0	260.0	189.0	217.0	254.0	196.0	310.0	232.0	228.0	109.0	91.0	77.0	195.0	186.0	264.0	255.0	289.0	1006.0	1028.0	624.0	371.0	246.0	160.0	237.0	237.0	139.0	227.0	189.0	275.0	227.0	243.0	634.0	189.0	103.0	199.0	286.0
Transcription	76475.0	75554.0	75167.0	81080.0	87178.0	84973.0	82422.0	84879.0	87007.0	89802.0	85199.0	88147.0	87055.0	91537.0	65626.0	62989.0	85123.0	85892.0	79731.0	84823.0	89380.0	87051.0	90782.0	70416.0	62085.0	70044.0	69247.0	59152.0	65820.0	67239.0	70595.0	78868.0	80499.0	83712.0	79381.0	71424.0	78068.0	72727.0	83730.0	86739.0	71037.0	76620.0	79709.0	81050.0	74192.0	88282.0	70064.0	76008.0	84333.0	77258.0
Translation	482877.0	476925.0	472286.0	501485.0	552551.0	546551.0	528020.0	525452.0	551140.0	569993.0	527493.0	543388.0	553650.0	568353.0	410254.0	362055.0	511374.0	508341.0	484537.0	509905.0	536199.0	546759.0	555179.0	438810.0	385719.0	431840.0	424844.0	364778.0	376603.0	406511.0	439267.0	494477.0	501857.0	532082.0	490853.0	445468.0	480956.0	442498.0	501490.0	523432.0	447316.0	482775.0	508770.0	510923.0	468957.0	562610.0	437703.0	476909.0	530296.0	483766.0
Transport and catabolism	86567.0	115227.0	101293.0	112433.0	104779.0	92200.0	114105.0	97632.0	102947.0	93749.0	133228.0	110287.0	127266.0	117432.0	153309.0	150381.0	117655.0	110708.0	150008.0	147937.0	131277.0	90282.0	148849.0	120765.0	77129.0	74910.0	86036.0	90731.0	115739.0	87792.0	88690.0	56426.0	64604.0	65545.0	72400.0	70207.0	63921.0	66055.0	58590.0	56161.0	69505.0	84855.0	72324.0	69518.0	80098.0	67891.0	99004.0	77280.0	104277.0	80760.0
Xenobiotics biodegradation and metabolism	146230.0	160040.0	151331.0	163565.0	154097.0	147500.0	152594.0	146728.0	148056.0	163466.0	173333.0	165402.0	163742.0	168184.0	149434.0	151593.0	153693.0	157355.0	153106.0	161776.0	170682.0	164407.0	179619.0	145746.0	121521.0	139423.0	129728.0	110445.0	125685.0	127334.0	133669.0	137285.0	142113.0	150549.0	148154.0	127628.0	137013.0	134553.0	150346.0	150741.0	110847.0	130001.0	134732.0	140259.0	130990.0	145725.0	125116.0	141955.0	150735.0	135309.0
